Run,Optimal Cost,N-Body Cost,N-Body Error,NN Run 1 Cost,NN Run 1 Error,NN Run 2 Cost,NN Run 2 Error,NN Run 3 Cost,NN Run 3 Error,NN Run 4 Cost,NN Run 4 Error,NN Run 5 Cost,NN Run 5 Error,NN Run 6 Cost,NN Run 6 Error,NN Run 7 Cost,NN Run 7 Error,NN Run 8 Cost,NN Run 8 Error,NN Run 9 Cost,NN Run 9 Error
88,2.9850,2.9850,0.0000,3.6407,21.9666,3.6572,22.5198,3.7310,24.9927,3.5392,18.5661,3.4645,16.0657,3.1659,6.0629,3.8216,28.0282,3.5392,18.5661,3.3312,11.5998
89,2.7722,2.7722,0.0000,2.7791,0.2482,2.7722,0.0000,2.7791,0.2482,2.7791,0.2482,2.7791,0.2482,2.7791,0.2482,3.4804,25.5448,2.7791,0.2482,2.8422,2.5242
90,2.4994,2.6474,5.9214,2.9404,17.6439,2.5757,3.0500,2.5757,3.0500,3.1219,24.9057,2.6559,6.2589,2.6877,7.5339,3.1326,25.3312,3.1520,26.1100,2.6877,7.5339
91,2.5149,2.5149,0.0000,2.6649,5.9640,2.8496,13.3081,2.6649,5.9640,2.7219,8.2279,2.8908,14.9455,2.7219,8.2279,2.7909,10.9733,2.6435,5.1125,2.5149,0.0000
92,3.4115,3.5448,3.9074,3.8747,13.5766,4.2464,24.4724,4.1980,23.0545,3.7590,10.1851,3.8778,13.6685,3.5730,4.7336,3.5730,4.7336,3.9827,16.7432,4.0882,19.8350
93,2.4615,2.4615,0.0000,3.0274,22.9910,2.7440,11.4807,2.5866,5.0852,2.5913,5.2764,2.9583,20.1863,2.5866,5.0852,2.5913,5.2764,2.4615,0.0000,2.9427,19.5499
94,2.9652,2.9652,0.0000,3.2101,8.2592,3.3021,11.3610,3.2297,8.9186,3.2297,8.9186,3.3021,11.3610,3.1177,5.1420,3.3378,12.5643,3.1287,5.5116,2.9652,0.0000
95,2.5706,2.5706,0.0000,2.9644,15.3208,2.8471,10.7552,2.9378,14.2852,3.4063,32.5099,2.9378,14.2852,2.9663,15.3942,2.8471,10.7552,3.0151,17.2917,3.0567,18.9101
96,2.5189,2.5189,-0.0000,2.6980,7.1116,2.5189,-0.0000,3.3643,33.5662,2.5189,0.0000,2.6980,7.1116,2.8205,11.9749,2.6980,7.1116,2.5764,2.2828,2.5764,2.2828
97,2.9906,2.9906,0.0000,3.4119,14.0879,3.4111,14.0626,3.1906,6.6868,3.4670,15.9311,3.1736,6.1188,3.3221,11.0848,3.0694,2.6361,3.1906,6.6868,3.1906,6.6868
98,2.8080,2.8080,0.0000,2.9605,5.4311,2.8080,0.0000,2.8875,2.8312,2.9557,5.2624,2.8080,0.0000,2.9512,5.0999,3.1112,10.7998,2.9818,6.1927,2.9818,6.1927
99,2.7629,2.7854,0.8150,3.1907,15.4838,3.4019,23.1269,3.5235,27.5282,3.4298,24.1371,3.1682,14.6688,2.7629,0.0000,3.6976,33.8289,2.7629,0.0000,3.4836,26.0827
100,2.6071,2.6071,0.0000,3.0481,16.9141,2.9010,11.2746,2.7500,5.4832,2.9010,11.2746,3.3753,29.4657,3.3094,26.9376,3.0718,17.8227,2.9122,11.7030,2.7500,5.4832
